,内容,评分,评价,不足之处,论文选题,文献综述,论文水平,论文写作,对论文熟悉程度
350,论文提出基于语义分割检测工业钢板表面缺陷算法，针对噪声干扰、低对比度、边界模糊、类内差异和类间相似等问题，设计了一种基于层次递进聚合的抑制增强网络，设计了全局背景抑制缺陷增强模块，用于削弱背景噪音、强化缺陷点区域。此外，针对样本量有限等问题，设计了一种基于迁移学习的多头自注意力的轻量级缺陷检测网络，从数据域、模型域和算法域多角度解决样本稀缺问题。 论文选题与工程实践相结合，具有较好的实际应用价值，对研究现状分析充分，论文写作较为规范，层次分明，数据分析较为充分，实验结果 可信。,82,良好,不足之处表现在： 1、有些内容过于基础与琐碎，如相关工具介绍等，导致论 文整体有些冗余。 2、有些标题需要斟酌和整理，如“实验环境与其他细节”，其 内容只有太少，建议与其他融合。 3、文中的语言需要进一步提炼，太多描述性的 重复，特别是实验分析对比部分，如：3.6.4 性能分析及对比中的“ 在本节中，将 本节提出的”，不再一一列举。,良好,良好,良好,良好,很熟悉
351,该论文针对医学图像中的差异数据进行自适应模型和特征约束算法的研究，有一定的科学和应用价值，文中对算法进行了一些改进和叠加，有一定的实践价值，但论文的学术研究深度一般。 论文在数据集的选择和训练实验的工作量上有提高的余地，在实验和结果讨论部分可进一步加强，核心的第三部分的算法构建思想可补充，论文的格式和拼写尚有部分小错误，详细建议见不足之处的内容。 总体来说，该论文达到了说是学位论文的基本要求，建议适当修改完善。,84,良好,① 格式方面需要修改部分错误，例如重叠的字、拼写错误如5.2.1的ubuntu等 ，1.2[9?];P20页，我们的段首缩进，Tzeng等[]人中的“人”可以删去，等等小问 题； ② 1.2.3 在医疗应用中比较广泛，可适当增补文献； ③ P10 对DANN网络介 绍中，“该论文作者”中论文引用指向不明确； ④ 3.2 建议增加一个框图； ⑤ 3 .5 降低时空开销，并无充分理由； ⑥ 5.1 临床研究是否有知情同意或伦理审批； ⑦ 5.4 office31 数据集对比差异性交大，为什么没考虑其他临床影像数据集，是 否为了说明改进算法具有广泛适用性，请进行有必要的选择理由说明； ⑧ 实际训 练中，对采集的临床影像选取有没有遇到问题，例如样本选择标准与剔除因素，数 据训练实验中，不理想的结果和调整因素是需讨论分析下。,优秀,良好,良好,优秀,熟悉
352,论文针对深度学习网络在多机型甲状腺超声影像中泛化性不佳问题，研究了一种适用于甲状腺超声影像跨域自适应方网络模型。论文选题正确，具有理论意义和工程价值。 作者广泛阅读相关学术文献，对研究现状进行了分析和综述，论文主要研究工作如下： 1.研究了多任务特征金字塔域自适应网络模型，既优化了目标域特征嵌入表达的稳定性，又优化了特征空间的融合； 2.研究了一种用于分类器自适应的轻量级类别约束方法，增强了源域特征丰富的语义信息表达。 论文反映作者已掌握本专业的基础理论知识，具有从事本专业科研开发能力。论文叙述清楚，结论正确，达到了电子信息专业的学位论文水平。,76,良好,1.建议增加公式中超参数或权重系数如何设置的理论分析，如：第18页：公式 （3-9）中的δ；第25页：公式（4-3）中的超参数α0；第26页：公式（4-5）中权 重系数λ1和λ2； 3.第5章，建议增加不同算法中间环节的实验结果分析和运算复 杂度的对比分析； 4.论文写作较精炼，但篇幅偏短，建议增加算法理论分析和实验 结果的相关内容。,优秀,良好,良好,良好,熟悉
353,医学影像分析是早期疾病筛查和后期诊断治疗中必不可缺的环节。人工智能辅助诊断技术正逐步成为医疗临床诊断的重要补充。通过使用深度模型对医学影像数据进行建模分析，能够为医生提供有力的决策支撑。然而，在处理来自不同医院特征分布不同的多机型数据时，人工智能辅助诊断系统的性能不足。在临床诊断中，确保人工智能辅助诊断系统对不同数据分布的医学影像都具有良好的诊断准确率，对提高医生诊断效率有重要的意义。论文围绕人工智能辅助诊断系统的泛化性问题和解决办法开展研究，选题具有一定的理论意义和应用价值。 作者广泛阅读了相关文献，对研究和应用现状进行了分析和综述。论文的主要成果如下： 针对多机型数据域不变特征的提取不佳和深度网络模型分类器适应性较差的问题，作者提出一种多任务特征金字塔域自适应网络模型。模型特点： (1) 通过图像重构与对抗判别相结合的方式，将源域数据有监督分类训练、目标域图像重构训练、源域数据与目标域数据级联对抗判别训练进行融合，构成多任务学习策略优化特征表达。在优化了目标域特征嵌入表达的稳定性的同时，又获取到具有任务依赖性的多维特征来优化两域特征空间的融合。 (2) 根据甲状腺超声影像结节组织尺度变化较大的特性，提出采用多尺度特征金字塔结构，进而引入交叉自注意力模块辅助提取结节组织区域域不变特征，促进源域知识到目标域知识的正向迁移，综合提升无监督场景下目标域图像的分类效果。 作者在甲状腺超声数据集和Office-31数据集上进行了实验，并对比了同类算法，说明了该多任务类特征融合域自适应方法泛化性较强，在多种数据和多种场景中均能够使用。同时，作者还通过消融实验评估引入模块带来的益处。实验表明，特征金字塔结构和交叉注意力模块能有效增强特征表达，类别特征增强可以实现源域与目标域的特征空间逐类别融合，进而显著提升源分类器在目标域数据的适应性。 论文反映作者已基本掌握了本专业的基础理论知识，具有从事本专业科研开发的基本能力。基本达到了工学硕士学位论文的水平。,76,良好,"1. 原文的的英文摘要部分撰写不规范，许多表达是中文直译而英文中没有这种 用法，如第一段第4排“greatly ease my country's medical imaging analysis ”, 第二段第9排“Based on the above problems”，第三段第5排“Compared wi th the baseline model, an increase of 8.208%, and only with a 3% increas e in memory”等。建议该部分仔细修改。 2. 原文的1.2小节国内外研究现状，参 考文献9处出现问号。并且全文中英文括号混用，建议中文部分用中文括号，纯英文 的部分用英文括号，请仔细核对修改全文。 3. 原文的1.2.1小节介绍无监督深度域 自适应方法，从基于差异和基于对抗两个细分方向进行讨论，但是后面一段却是用 基于离散来表述，是否有误？请仔细检查这个问题。 4. 全文中英文大小写和斜体 没有统一。如Office-31数据集本应为大写，但在2.1和3.2小节分别为小写和斜体， softmax也是类似情况，建议统一并对全文英文写法仔细核对和修改。 5. 原文的3. 1小节介绍深度重构域自适应框架，第四段中θlab和θdec定义未给出，应进行详细 说明。 6. 图3.3中的中文“低、中、高”表示什么含义，请说明。 7. 第4.2节中 的“源域样本类特征增强”是如何应用到网络中的？请给出详细说明。Lcsf在文中 是什么含义？它被引入到损失中了吗？在网络中起什么作用？ 8. 原文的5.1小节介 绍数据集，甲状腺超声图像数据集分为四个不同的视觉风格域:F、T、U、P。但是没 有对数据集的详细介绍，这四种数据集区别是什么，缩写又代表什么。后文中出现 的Philips数据域和Toshiba数据域是否就是P和T，他们是设备的名称吗？请补充说 明。同时3.2小节的T也描述错误，两个都写成了Philips，请仔细核对修改。 9. 原文的5.3.1小节对比算法部分，对比算法标号重复，DANN应为第4种，后面的标号 需进行修改。 10. 原文的5.4.2小节介绍甲状腺超声数据集域自适应实验，在表5-2 中给出了各算法的测试分类准确度，但是并没有把前文中列出来的算法对比完，例 如GCAN，同时表格中出现的RevGrad算法文章也未进行说明，请补充实验或给出说明 。 11. 论文标题为多机型医学影像的多任务类特征融合域自适应研究，但是论文中 用到的医学图像只有针对甲状腺结节的数据集。请问论文中的模型是否只针对甲状 腺医学图像呢？如果是，应该指出并补充甲状腺结节医学图像的深度学习方法综述 ；如果不是，应补充其他的医学图像数据集实验以验证该模型的泛化能力。 12. 作 者提出的多任务深度重构域自适应模型(图3.1)与Deep Reconstruction-Classifica tion Networks for Unsupervised Domain Adaptation(2016 ECCV)提出的模型DRCN 极其类似，但文章并未给出与这篇文章的对比，请问是否有参考这篇文献呢？原文 提出的模型与DRCN又有什么区别？请在论文中进行相关对比补充。这一点及其重要 。 13. 论文的标题读起来不顺畅，建议斟酌修改。“多任务”指代什么？请在论文 中详细说明。 14. 论文摘要提到“然而目前辅助诊断在临床领域所面临的实际应用 对象往往是来自不同医院特征分布不同的多中心或多机型数据”，但是全文未对“ 多中心”进行解释和阐述，建议补充；如果不涉及多中心，建议删除。 15. 摘要提 到“最后在两域特征空间融合中添加细粒度类别约束......”，但是论文后面没有 提到“细粒度类别约束”是什么？具体是如何实现“细粒度”的？请详细说明。 16 . 论文的实验不充分。目前很多论文都用参数敏感性实验来反映网络的稳定性。请 补充参数敏感性实验。这样才能有力支持作者论文的结论。",良好,一般,良好,一般,熟悉
354,本论文针对辅助诊断模型对多机型甲状腺超声影像泛化性不佳的问题，对无监督域自适应的网络结构和训练方法进行研究，选题具有一定的实际应用价值与现实意义。论文主要工作包括：1、提出一种多任务特征金字塔域自适应网络，捕获更多可迁移的域不变语义信息；引入循环交叉注意力获取影像结节区域全局依赖关系，增强模型分类性能。2、提出一种基于元优化的类特征空间融合算法，融合元优化训练策略加强分类任务和对抗任务之间的交互，提升源域分类器对于目标域数据的适应性。实验结果表明，在多机型甲状腺超声影像分类任务中的平均准确率达到90.539%，基于元优化的类特征空间融合算法将准确率提升1.449%。论文结构合理，层次分明，文笔流畅，表达清晰，具有一定的创新性，文章格式符合学术规范，在学期间取得了一定的科研成果，体现了作者具有较好的独立科研能力。综上所述，本论文达到了硕士研究生毕业论文的要求，推荐答辩。,87,良好,1、图1-1太小了，放大一些，便于观察。 2、图3-6，能否找一下同一位置的不同机型拍摄图片，可以更好的进行对比。 3、表3-2，与主流算法对比试验，最好给出这些主流算法的出处，加上参考文献。 4、参考文献整体上看2020年以后的文章不多，主要集中在2016-1018年左右，是作者 没有进行仔细查新？还是研究问题已经不是这两年的热点问题了？,良好,良好,良好,优秀,很熟悉
355,该论文针对甲状腺结节超声检查中，不同机型所生成的影像之间泛化性能不佳的问题，提出了一种多任务特征金字塔域自适应网络，利用多尺度特征进行目标域数据重构和分类。该论文还提出一种基于元优化的类特征空间融合算法，提升源域分类器对于目标域数据的适应性。该论文在研究方法和技术方面具备一定的创新性，内容安排较为合理，写作规范，对相关工作的综述和引用较为充分。总体而言，该论文是一篇合格的硕士学位论文。,84,良好,1. 该论文对于在不同机型的甲状腺结节超声影像中进行迁移学习和分类的临床需求和 应用价值的描述不够清晰，建议在第一章中对临床需求、临床应用价值等问题进行详 细阐述。 2. 第二章（相关理论基础）在全文中的定位不清晰，作用模糊，建议将对应的内容分 解安排到第三章和第四章中。 3. 第三章和第四章的实验中只选用（分类）准确率对实验数据进行评价，评价指标较 为单一，建议增加敏感性、特异性等指标来增强实验结果的代表性和说服力。 4. 其次，该论文在第三章和第四章中选取了不同的神经网络进行对比实验，建议增加 诸如网络参数量、计算量等指标来作为网络本身的相关评价指标。 5. 该论文对于所提方法（网络、模块等）与超声影像之间的联系描述较为模糊。其他 影像模态，如CT、MRI等，同样存在不同机型、不同序列所导致的泛化性能不佳等问题 。建议补充或详细说明超声甲状腺（结节）影像特征与所提网络结构、模块之间的相 关性。,良好,良好,一般,良好,熟悉
356,硕士学位论文《基于多任务和类特征融合的甲状腺超声影像域自适应分类研究》针对辅助诊断模型对多机型甲状腺超声影像泛化性不佳的问题，对无监督域自适应的网络结构和训练方法进行研究，具备一定的应用价值。论文提出一种多任务特征金字塔域自适应网络，为对抗框架引入重构分支以构成多任务学习方法，并应用特征金字塔结构来充分利用多尺度特征，捕获更多可迁移的域不变语义信息。此外，网络引入循环交叉注意力获取影像结节区域全局依赖关系，突出影像中结节区域的特征表达，进而增强模型的分类性能。较有新意，有一定的学术价值。这篇论文结构完整，条理清晰，表述明确。但是核心部分临床数据的描述和分析显得较为单薄，希望能充实这一部分的内容,80,良好,硕士学位论文《基于多任务和类特征融合的甲状腺超声影像域自适应分类研究》针对 辅助诊断模型对多机型甲状腺超声影像泛化性不佳的问题，对无监督域自适应的网络 结构和训练方法进行研究，具备一定的应用价值。但是章节比例不够合理，基础理论 描述过多，针对研究对象甲状腺超声影像的篇幅偏少。主要意见如下： （1） 第二章属于基础知识的描述，内容显得有些散乱。 （2） 第28页，图3-8的12幅图，分别表示什么？他们之间有什么关系？建议在图中标 出。 （3） 核心部分临床数据的描述和分析显得较为单薄，希望能充实这一部分的内容。,良好,良好,一般,一般,一般
357,隐私数据的管理，在安全性与工程可行性方面存在实际的矛盾，安全提高了，需要屏蔽的数据就多，但工程上就引起难以识别对象的问题。因为基于隐私数据的机器学习过程中，隐私数据也会被带进模型里，因此，如何确保隐私数据训练样本和隐私计算模型的防泄密问题， 本文从隐私数据生成、隐私训练模型构建的角度，开展了基于差分隐私保护机制，从而，比较好的解决了隐私计算消耗、隐私误差边界难以界定、隐私计算模型间共识度低的问题。 因此，从论文的实际意义角度看，本文在万物互联、区块链技术广泛应用的今天，是有很重要的意义的。 在学术上，本文差分隐私保护机制引入对抗网络，提高了对抗网络模型的隐私数据保护程度。这在技术上是一个集成创新，具有较好的先进性。 为提高论文实用性，建议加强该技术的工程可行性的研究，并探索运行效率方面的问题（是建议完善）。,82,良好,,良好,良好,良好,一般,熟悉
358,随着信息共享时代的来临，有效提高信息资源的利用率、合理配置资源的同时也节约了社会成本。论文作者提出差分隐私的生成对抗网络数据隐私保护方法，对促进人工智能系统的安全发展具有重要的现实意义。论文主要工作如下： （1）论文作者针对共识度检查的教师系综的私有聚合机制研究，提出了一个高效隐私保护的分类集成模型，生成对抗网络中的差分隐私保护判别网络，对教师模型进行了一定的优化。 (2) 提出差分隐私的生成对抗网络隐私保护方法，对隐私保护机制的隐私性能进行了计算分析，形成了紧密的隐私边界。对模型的隐私性和生成数据的可用性进行了评估。 论文作者具有宽广的理论基础，系统专门知识和独立从事科研的能力。是一篇合格的硕士学位论文,90,优秀,,优秀,良好,良好,良好,很熟悉
359,本文旨在生成具有隐私保护属性的合成数据样本。首先，为了保护真实训练集中的隐私，保证模型防止受到推理攻击造成隐私泄露的同时具有较好的性能，本文基于PATE提出了基于共识度检查的教师私有聚合机制。通过优化集成模型与策略，引入差分隐私保护机制，保证集成模型间的共识度，减少不必要的隐私预算消耗。此外，本文将差分隐私集成模型引入至生成对抗网络中，以隐私保护的方式训练模型并生成逼真样本。 本文选题具有实用价值，研究方法恰当，实验结果表明其有效性。达到硕士毕业要求。,80,良好,实验仅分析了准确性指标。 论文应增加对算法的时间复杂度分析，并给出本文 方法及基线方法的实验运行时间的对比。,良好,良好,一般,良好,熟悉
360,本文研究了复杂场景无人机双光目标跟踪技术。建立了无人机双光目标跟踪数据集；提出了基于图像融合的双光目标跟踪网络，并进行了实验验证；对基于GAN的可见光和红外图像融合方法进行了改进，并用于目标跟踪任务。论文工作量较为饱满，提出了一些创新性的方法，总体达到硕士学位论文要求，但论文写作规范性非常差，建议修改后答辩。,76,良好,"1、文字表达需改进，存在大量文法和排版错误，如： 1）摘要部分文字表述不 够简洁流畅，如：提出了第一个该领域的... 数据集，应为建立或构建 ... 数据集 。 2）第8页，...将跟踪问题“抓换”成图像匹配... 3）公式（2-2）中i的范围0 ~L-1，而正文中集合P中的范围为0~L。（另，正文中多处变量应为斜体，而未用斜 体表示） 4）公式（2-3）与（2-4）分别用F(i,j)和Z(x,y)表示图像像素点灰度值 ，应统一表示。 5）公式（2-6）下一行，deltay_x应为deltaI_y。 6）公式（2-9 ）m，n应为M，N，n-l应为n-1 7）第11页，结构相似性英文解释SSIM应在首次出现 时给出。 8）公式（4-3）I_rgb存在排版错误；公式（4-4），W是自然数，从1遍历 到N？公式（4-5）I_rgb应为I_rgb(i,j)；公式（4-6）后，||2应为||_2。 9）公式 （4-10）后第二行，“空间变换空间变”？ 10）公式（4-11）表述不准确，序号j 并未在累加式中出现。 11）图4-13中的图例与正文不符。 12）4.4小结内容与正文 不符。第4章并未有数据集相关论述。 13）公式（5-9）p从0遍历到p-1? 14）公式 （5-10）中的 psi 表示？ 15）公式（5-11）中phi的下标为i = 1...k，而下面一 句对变量解释时，下标又表示成了k。 16）公式（5-11）~（5-13），下标i与像素 位置标号i应区分。 2、在4.2.2节应增加对总变换损失函数L_D的论述，说明引入该 损失的初衷，论证其合理性和有益性。 3、第5.3.4节，公式（5-8）中，仅对融合 图像与可见光图像计算LBP后比较，而融合图像与红外图像直接比较，应说明原因， 论证合理性。 4、第5章内容与论文题目有所脱节，主要篇幅在讲述和验证图像融合 算法，融合性能好是否一定意味跟踪结果优？融合性能提升对跟踪结果的影响应进 行分析。另外，实验部分无需重复显示第4章已呈现的经典方法曲线。 5、作为解决 同一问题的两种具体方法，第5章的DDNet与第4章的OFNet逻辑关系应阐述清楚，仅 仅提出两种不同的方法？是否有各自优缺点或适用性？ 6、建立训练数据集作为本 文强调的主要工作之一，应在第3章或第4、5章的实验部分，给出若干帧代表性图像 ，并在这些图像上给出相关方法的跟踪结果，进行定性评价和比较。",良好,良好,良好,较差,很熟悉
361,论文一共做了两个主要的工作，第一个工作主要为探究无人机复杂场景下的目标跟踪算法。该方法可以通过图像融合策略解决由于遮挡、光照问题导致的目标缺失问题，做了大量的实验证明了算法的有效性。第二个工作主要是研究多判别器的图像融合跟踪算法，针对这个方向的研究，本文首先分析和总结了图像融合数据集和图像融合指标，通过分析现有的基于生成对抗网络的图像融合算法，提出了一个基于多判别器的图像融合跟踪算法DDNet，并实施了两种可行的融合策略。,82,良好,"1. 本文第三章，介绍了数据集的构造，在绪论中提到“双光目标跟踪数据集， 如RGBT234[5]、GTOT[6] 这些数据都无法满足无人机双光目标跟踪数据集的要求。 ”。 但是，作者在绪论和第三章中，没有明确详细的解释为什么现有数据集不能使 用。所以本文第三章的必要性有待商榷。如果不能给出明确理由说明现有数据集为 什么不能用，则应简化第三章内容，改为一个小节内容。 此外，3.2,3.3,3.4 多为 对现有数据的介绍，不涉及主要创新和工作，建议在绪论中或者第二章相关工作介 绍更加合适。 2. 作者在绪论中提到“但是他们都忽略了模态数据共享的作用。因 此，需要提出一个在线的且可以利用双光数据信息的目标跟踪算法”。现有算法是 否都是在线的，目标跟踪算法的实时性应是默认的基本要求。 此外，作者说现有算 法斗忽略了模态数据共享的作用，并且指出现有算法是“简单的将可见光和热红外 光的特征串联成一个向量”。 那么作者在正文中应详细解释模态数据共享的定义或 含义，和所提算法与现有算法的最大区别与优势，并且明确指出作者提出方法如何 实现了模态数据共享，并且分析出模态数据共享如何提升算法性能。最终用实验验 证理论分析，做到理论实验的一致性。 3. 作者应说明第四章与第五章之间的联系 与区别。目前看第四章与第五章联系不够紧密。 4. 作者应仔细检查语音问题，文 中多处语言不通顺，滥用或重复使用转折词，仅举出一个例子： “但是现有的双光 目标跟踪算法多数是将可见光跟踪器拓展到双光跟踪器，通过简单的将可见光和热 红外光的特征串联成一个向量，然后送入跟踪 器。但是他们都忽略了模态数据共享 的作用。因此，需要提出一个在线的且可以利用双光数据信息的目标跟踪算法。”",良好,一般,一般,一般,很熟悉
362,本论文研究基于双光图像的无人机目标跟踪算法，研究具有一定的理论意义和实用价值。论文写作流畅，格式规范，内容丰富，工作量饱满，实验论证较充分。针对双光图像无人机目标跟踪任务分别提出了一套数据集和一种基于多判别器融合的跟踪算法，并通过大量实验论证了算法的有效性，所做工作已经充分达到了正常硕士毕业的要求。,87,良好,1、 论文需要明确无人机目标跟踪与普通的目标跟踪之间的区别，突出无人机 目标跟踪的特点，并根据这些特点设计有针对性的算法； 2、 双光图像跟踪跟单光 的RGB图像跟踪相比较有啥突出的优势？ 需要通过大量实验来论证； 3、 对比算法 需要加入一些最先进的跟踪算法，并分析与这些先进跟踪算法相比，本文所提算法 的优势。,良好,良好,良好,良好,熟悉
363,论文针对三种医学或生物学任务，基因调控网络推断、脑部胶质瘤分割和视网膜血管分割，分别设计了三种改进网络模型，在特征提取，多模态数据融合，网络模型轻量化等方面都做了深入的研究，取得了一定的效果。论文工作量充分，对算法的研究背景、网络模型构建、实验过程进行了详细的描述，也较为充分的验证了所提方法的有效性。论文整体写作规范，逻辑合理，语言准确，总体上取了的不错的成果。,88,良好,论文细节处需要进行一定修改。 1.在SDINet网络和RNA-seq 数据特征提取网络中，请解释下高级语义特征的具体含义 。 2.RNA-seq 数据和基因表达图像数据属于完全不同属性的两类数据，利用全连接层进 行二者融合，请阐述其可行性。 3.图2-12是利用三种模型无法发现的基因调控关系? 图像数据无法发现的关系远多于 RNA-seq 数据？图2-12题注写的不够清晰。 4.图3-3中分割 Decoder分割前景的作用是什么？此外，FDE block插入主网络和辅助 网络哪里？ 5.图4-3少了一副图像的题注？Res2Unet 中的Res2Net网络采用了轻量化设计方法，但 Res2Unet整体融合了多个网络模型，Res2Unet的算法复杂度和经典方法具体可有比较 ？,优秀,良好,良好,良好,熟悉
364,论文主要研究如何将深度学习技术应用到三种医学或生物信息场景：基因调控网络的推断、脑部胶质瘤分割和视网膜血管分割。论文结构紧凑合理，创新点较为新颖，逻辑较为清晰，实验设计较严谨，对比实验数据丰富，结果可信。论文表明作者掌握了计算机专业的基本理论和分析方法，论文达到了硕士学位论文水平，同意其参加论文答辩。,77,良好,论文的不足及建议如下： （1）论文摘要部分逻辑结构不清晰，对于分割结果的描述较为模糊，缺乏精确的 数据说明，建议修改精炼； （2）论文图4-3的c图像和d图像的区别未在图注中说明清楚； （3）文中有一定数量的错别字，如3.3节中“有效的”应为“有效地”，建议进 行全面仔细修改。,一般,一般,一般,一般,熟悉
365,本文主要针对三种不同生物医学图像的分割，利用深度学习技术改进设计了三种简洁高效的模型，应用于基因调控网络的推断、脑部胶质瘤分割和视网膜血管分割，有效提升了图像分割精度与医学辅助诊断效率。首先针对基因调控网络中较少关注基因表达的图像数据的问题，改进了从基因的 RNA-seq 数据来推断基因调控网络的传统方法，利用图像数据包含丰富的空间信息发现潜在的调控关系。搜集了有关果蝇眼部发育基因的胚胎原位杂交图像数据，结合多尺度空洞卷积模块和通道注意力机制设计了高效的特征提取模型。其次，首次结合图像数据与RNA-seq 数据，充分利用二者数据信息，设计融合模型。在脑部胶质瘤分割中，基于包含四种模态的脑部核磁共振成像 (MRI)，设计了基于局部窗口的交叉注意力机制，对不同模态特征进行融合。最后，针对分割任务设计了一个特征解耦模块，通过解耦前景和背景特征提升分割效果。在视网膜血管图像分割中，关注模型的复杂性，可很好地同时提取不同尺寸的血管。结合分组卷积、多尺度策略和通道注意力机制提出了轻量级分割模型，通过局部阈值、集成的后处理方法分割出的隐藏血管，并消除了假阳性样本点。本文研究方向较新，创新点具有一定的实用性，实验结果验证了改进算法的有效性。格式规范，行文较流畅，达到硕士论文水平。,88,良好,建议： 1.部分章节行文有待更流畅，建议修改中文摘要。 2.文中“我们”等第一人称描述过多，建议减少。,良好,良好,良好,一般,熟悉
366,论文聚焦非编码RNA与疾病关联关系建立以及DNA N4甲基胞嘧啶(4mC)位点识别两个方面的研究内容，利用机器学习技术进行了建模-预测研究，并与同类软件进行了性能比较。前者收集并计算了多种来源的特征，并利用多层多核深度神经网络模型融合特征，构建的模型一定程度上提升了预测精度。后者在模型中引入了L2正则项，减少参数间的差异，提升了模型的鲁棒性。论文在特征编码和模型构建方面进行了一些创新性探索，对后续同类研究具有一定的借鉴意义。,72,一般,1）论文涉及两个方面的内容：非编码RNA与疾病关联关系预测（第3章）以及DNA 4mC 位点预测（第4章），两者相对独立，无法形成一个整体，影响了整个论文的质量。建 议：围绕一个方面的内容，进一步拓展研究广度或者增加研究深度，确保论文的逻辑 性和完整性。 2）论文写作还需要进一步提升。以摘要中的“本文提出的模型在一定程度上加快了药 物发现等生物医学研究的进展，为后续研究新药提供了新的可能，同时为进一步研究 功能性基因的生物医学功能提供了新的动力”为例，夸大了研究工作的作用。 3）论文作者为计算机技术研究方向，可以考虑再增加一章，为所研发的模型提供Web 服务，为大规模预测结果构建数据库，进而提升论文的价值。,一般,良好,一般,一般,熟悉
367,该论文为了解释功能性基因疾病关联及位点修饰规律，提出了多层多核深度神经网络模型来进行ncRNA与疾病的关联关系预测，同时基于多视角核拉普拉斯稀疏表示分类器来识别DNA4mC位点预测。该论文选题具有一定的理论意义和实用价值。实验结果表明，提出的两类模型性能优于其他方法。总体来看，该论文结构清晰，语言通顺，实验充分，工作量饱满，写作规范。相关科研工作发表在SCI期刊，得到了同行专家评审的认可，证明作者已经完全掌握了本领域的基础知识，具备独立开展科研工作的能力。因此，同意该生参加硕士论文答辩。,88,良好,论文不足之处： 1. 摘要部分需要改进。 2. 在第四章中，对于单视角和多视角的特征对比，PSTNP与NCP和DPP别分拼接的特征 的 性能没有进行对比。此外，对于特征提取的方法依据是什么呢？ 3. 在跨物种的试验中，建议增加热图来展示不同物种间的预测影响。,良好,良好,良好,良好,很熟悉
368,论文针对非编码RNA与疾病的关联关系预测和DNA的4mC位点预测进行了研究，选题有意义。在非编码RNA与疾病的潜在的关联关系问题上，提出了一种基于多核学习的方式来预测未知的关联关系预测算法MLMKDNN；在DNA的4mC位点预测问题上，提出了一种基于希尔伯特-施密特独立性准则的多视角核拉普拉斯稀疏表示分类方法MvLapKSRC-HSIC；所提的两种方法在相关数据集上进行了实验验证，获得了良好的性能。论文结构合理，图表规范，达到硕士学位论文的要求。,86,良好,"1、论文摘要描述所做的工作是“为了解释功能性基因疾病关联及位点修饰规律，... ”,请补充所提出方法在相关结果上的解释。 2、3.3 中缺非编码RNA表达相似性的计算方法，请补充。",良好,良好,良好,良好,熟悉
369,硕士学位论文《基于多源信息融合的疾病关联机器学习方法研究》采用多层多核深度神经网络(MLMKDNN)预测非编码RNA与疾病的关联关系；基于多图正则的低秩矩阵分解方法构建了MGRMF模型预测药物与疾病的关联关系。该论文选题能与工程实践相结合，有理论意义与潜在实用价值；研究手段与研究内容中规中矩，工作量饱满，尽管写作表达上还有待提升，但整体上达到了硕士学位水平，建议适当修改完善后提交论文答辩,88,良好,1、论文就是预测非编码RNA或药物与疾病的关联，没有感受到基于多源信息融合； 2、两个部分的研究中大量使用了相似性指标，但读后感觉太过冗余。例如，高斯相似 性，从RNA间的高斯相似性，药物间的高斯相似性，到疾病间的高斯相似性竟然反反复 复使用了四个本质上一样的公式，反复赘述； 3、两个模型的案例验证非常奇怪，完全可以用独立数据集吧，还可挖掘文献验证。,良好,良好,良好,一般,熟悉
370,该论文针对集群环境下小目标多阶段检测方法存在复杂并行计算问题，对并行计算封装编程框架与检测优化算法分别进行了理论研究、设计开发与试验验证，选题具有一定的实用价值。论文设计实现了基于集群计算体系的小目标多阶段编程框架 EasyMD，对多阶段检测任务的节点检测、错误恢复、任务调度等关键算法进行了封装。试验测试表明该编程框架具有较好的并行性、可拓展性与可靠性，能够有效调度多节点计算能力、提高集群系统计算效率和检测速度。论文从视频采样率与精度的关系角度，通过基于非线性最优化方法的自适应采样率配置选择方法，构造了多阶段精度函数。典型小目标试验表明，该方法能够在保证精度的同时缩短检测时间，提高了多阶段检测优化性能。论文理论分析正确、设计过程完整、试验分析充分合理。论文工作表明该同学已掌握了本学科的基础理论和系统的专门知识，具有从事相关学科科学研究和独立担负专门技术工作的能力。论文论述条理清楚、图表完整、撰写流畅。同意该同学论文进行硕士学位论文答辩,92,优秀,该论文针对集群环境下小目标多阶段检测方法存在复杂并行计算问题，对并行计 算封装编程框架与检测优化算法分别进行了理论研究、设计开发与试验验证，选题具 有一定的实用价值。 论文设计实现了基于集群计算体系的小目标多阶段编程框架 EasyMD，对多阶段检 测任务的节点检测、错误恢复、任务调度等关键算法进行了封装。试验测试表明该编 程框架具有较好的并行性、可拓展性与可靠性，能够有效调度多节点计算能力、提高 集群系统计算效率和检测速度。 论文从视频采样率与精度的关系角度，通过基于非线性最优化方法的自适应采样 率配置选择方法，构造了多阶段精度函数。典型小目标试验表明，该方法能够在保证 精度的同时缩短检测时间，提高了多阶段检测优化性能。 论文理论分析正确、设计过程完整、试验分析充分合理。 论文工作表明该同学已掌握了本学科的基础理论和系统的专门知识，具有从事相关学 科科学研究和独立担负专门技术工作的能力。论文论述条理清楚、图表完整、撰写流 畅。 同意该同学论文进行硕士学位论文答辩。,良好,良好,良好,良好,熟悉
